	BARX1	CDX2	BSX	CEBPA	ASCL1	BACH2	CEBPD	CEBPE	CEBPG	BHLHE23	BARX2	BATF::JUN	ATF7	CEBPB	ATOH7	AR	ATF6	E2F1	BCL6	ATF3	BARHL1	ATF4	CDX1	BHLHE40	BATF3	BCL6B	ARNT2	ARGFX	BARHL2	BHLHE41
BARX1		4459	4459	4262	4459	4459	4459	4459	4459	4459	4459	4415	4459	4262	4459	4459	4459	601	4459	2158	4459	4459	4459	4459	4459	8	4459	4459	4459	4459
CDX2	4459		4459	4262	4459	4459	4459	4459	4459	4459	4459	4415	4459	4262	4459	4459	4459	601	4459	2158	4459	4459	4459	4459	4459	8	4459	4459	4459	4459
BSX	4459	4459		4262	4459	4459	4459	4459	4459	4459	4459	4415	4459	4262	4459	4459	4459	601	4459	2158	4459	4459	4459	4459	4459	8	4459	4459	4459	4459
CEBPA	4262	4262	4262		4262	4262	4262	4262	4262	4262	4262	4220	4262	4262	4262	4262	4262	575	4262	2084	4262	4262	4262	4262	4262	7	4262	4262	4262	4262
ASCL1	4459	4459	4459	4262		4459	4459	4459	4459	4459	4459	4415	4459	4262	4459	4459	4459	601	4459	2158	4459	4459	4459	4459	4459	8	4459	4459	4459	4459
BACH2	4459	4459	4459	4262	4459		4459	4459	4459	4459	4459	4415	4459	4262	4459	4459	4459	601	4459	2158	4459	4459	4459	4459	4459	8	4459	4459	4459	4459
CEBPD	4459	4459	4459	4262	4459	4459		4459	4459	4459	4459	4415	4459	4262	4459	4459	4459	601	4459	2158	4459	4459	4459	4459	4459	8	4459	4459	4459	4459
CEBPE	4459	4459	4459	4262	4459	4459	4459		4459	4459	4459	4415	4459	4262	4459	4459	4459	601	4459	2158	4459	4459	4459	4459	4459	8	4459	4459	4459	4459
CEBPG	4459	4459	4459	4262	4459	4459	4459	4459		4459	4459	4415	4459	4262	4459	4459	4459	601	4459	2158	4459	4459	4459	4459	4459	8	4459	4459	4459	4459
BHLHE23	4459	4459	4459	4262	4459	4459	4459	4459	4459		4459	4415	4459	4262	4459	4459	4459	601	4459	2158	4459	4459	4459	4459	4459	8	4459	4459	4459	4459
BARX2	4459	4459	4459	4262	4459	4459	4459	4459	4459	4459		4415	4459	4262	4459	4459	4459	601	4459	2158	4459	4459	4459	4459	4459	8	4459	4459	4459	4459
BATF::JUN	4415	4415	4415	4220	4415	4415	4415	4415	4415	4415	4415		4415	4220	4415	4415	4415	596	4415	2152	4415	4415	4415	4415	4415	8	4415	4415	4415	4415
ATF7	4459	4459	4459	4262	4459	4459	4459	4459	4459	4459	4459	4415		4262	4459	4459	4459	601	4459	2158	4459	4459	4459	4459	4459	8	4459	4459	4459	4459
CEBPB	4262	4262	4262	4262	4262	4262	4262	4262	4262	4262	4262	4220	4262		4262	4262	4262	575	4262	2084	4262	4262	4262	4262	4262	7	4262	4262	4262	4262
ATOH7	4459	4459	4459	4262	4459	4459	4459	4459	4459	4459	4459	4415	4459	4262		4459	4459	601	4459	2158	4459	4459	4459	4459	4459	8	4459	4459	4459	4459
AR	4459	4459	4459	4262	4459	4459	4459	4459	4459	4459	4459	4415	4459	4262	4459		4459	601	4459	2158	4459	4459	4459	4459	4459	8	4459	4459	4459	4459
ATF6	4459	4459	4459	4262	4459	4459	4459	4459	4459	4459	4459	4415	4459	4262	4459	4459		601	4459	2158	4459	4459	4459	4459	4459	8	4459	4459	4459	4459
E2F1	601	601	601	575	601	601	601	601	601	601	601	596	601	575	601	601	601		601	257	601	601	601	601	601	0	601	601	601	601
BCL6	4459	4459	4459	4262	4459	4459	4459	4459	4459	4459	4459	4415	4459	4262	4459	4459	4459	601		2158	4459	4459	4459	4459	4459	8	4459	4459	4459	4459
ATF3	2158	2158	2158	2084	2158	2158	2158	2158	2158	2158	2158	2152	2158	2084	2158	2158	2158	257	2158		2158	2158	2158	2158	2158	8	2158	2158	2158	2158
BARHL1	4459	4459	4459	4262	4459	4459	4459	4459	4459	4459	4459	4415	4459	4262	4459	4459	4459	601	4459	2158		4459	4459	4459	4459	8	4459	4459	4459	4459
ATF4	4459	4459	4459	4262	4459	4459	4459	4459	4459	4459	4459	4415	4459	4262	4459	4459	4459	601	4459	2158	4459		4459	4459	4459	8	4459	4459	4459	4459
CDX1	4459	4459	4459	4262	4459	4459	4459	4459	4459	4459	4459	4415	4459	4262	4459	4459	4459	601	4459	2158	4459	4459		4459	4459	8	4459	4459	4459	4459
BHLHE40	4459	4459	4459	4262	4459	4459	4459	4459	4459	4459	4459	4415	4459	4262	4459	4459	4459	601	4459	2158	4459	4459	4459		4459	8	4459	4459	4459	4459
BATF3	4459	4459	4459	4262	4459	4459	4459	4459	4459	4459	4459	4415	4459	4262	4459	4459	4459	601	4459	2158	4459	4459	4459	4459		8	4459	4459	4459	4459
BCL6B	8	8	8	7	8	8	8	8	8	8	8	8	8	7	8	8	8	0	8	8	8	8	8	8	8		8	8	8	8
ARNT2	4459	4459	4459	4262	4459	4459	4459	4459	4459	4459	4459	4415	4459	4262	4459	4459	4459	601	4459	2158	4459	4459	4459	4459	4459	8		4459	4459	4459
ARGFX	4459	4459	4459	4262	4459	4459	4459	4459	4459	4459	4459	4415	4459	4262	4459	4459	4459	601	4459	2158	4459	4459	4459	4459	4459	8	4459		4459	4459
BARHL2	4459	4459	4459	4262	4459	4459	4459	4459	4459	4459	4459	4415	4459	4262	4459	4459	4459	601	4459	2158	4459	4459	4459	4459	4459	8	4459	4459		4459
BHLHE41	4459	4459	4459	4262	4459	4459	4459	4459	4459	4459	4459	4415	4459	4262	4459	4459	4459	601	4459	2158	4459	4459	4459	4459	4459	8	4459	4459	4459	
